,"('GLD', 'open')","('GLD', 'high')","('GLD', 'low')","('GLD', 'close')","('GLD', 'volume')",Close
2017-05-18,119.77,119.84,118.56,118.82,8196025,1825.5495197132664
2017-05-19,119.39,119.545,118.88,119.41,5632797,1926.2015095676825
2017-05-22,119.63,120.14,119.58,119.8953,3981207,2110.9065907473355
2017-05-23,120.13,120.19,118.9841,119.11,5993930,2192.909826964676
2017-05-24,119.07,119.7425,118.915,119.63,5680756,2367.3512342216027
2017-05-25,119.52,119.695,119.29,119.5,3103635,2555.5144815588087
2017-05-26,120.49,120.79,120.33,120.55,5243931,2384.622114445222
2017-05-30,120.24,120.33,119.95,120.15,3515511,2273.5866904422264
2017-05-31,120.31,121.23,120.26,120.62,7322702,2253.686263121067
2017-06-01,120.17,120.74,120.06,120.66,5770680,2389.872342657344
2017-06-02,121.31,121.71,121.19,121.61,5556753,2429.3910122038765
2017-06-05,121.91,121.94,121.58,121.73,2902974,2602.2055007256954
2017-06-06,123.09,123.31,122.77,123.11,7797844,2835.092842178768
2017-06-07,122.79,123.16,122.015,122.46,6719006,2814.690801418441
2017-06-08,122.07,122.07,120.95,121.65,6733460,2753.428592436983
2017-06-09,120.45,120.91,120.4,120.56,6081994,2824.0709188801134
2017-06-12,120.33,120.685,120.265,120.34,4168566,2798.617826398856
2017-06-13,119.95,120.71,119.92,120.5,3176736,2715.9303538570493
2017-06-14,121.52,121.88,119.57,119.85,16762765,2651.497856635919
2017-06-15,119.22,119.5,119.1275,119.32,5442718,2356.0800488826803
2017-06-16,119.35,119.5,119.24,119.31,3540899,2451.4944508670533
2017-06-19,118.74,118.84,118.33,118.41,5439256,2558.2808619430243
2017-06-20,118.42,118.46,118.07,118.19,3419208,2661.645126582277
2017-06-21,118.15,118.66,118.15,118.54,3534885,2711.941942090399
2017-06-22,119.13,119.1978,118.6,118.92,5045674,2681.07608758076
2017-06-23,119.65,119.66,119.31,119.44,6557565,2718.1027838033283
2017-06-26,118.29,118.535,118.17,118.36,5093456,2463.4198645759097
2017-06-27,118.87,119.05,118.481,118.79,4165162,2407.07438434164
2017-06-28,119.06,119.06,118.685,118.91,3210870,2534.0378627591103
2017-06-29,117.97,118.64,117.91,118.32,6396279,2558.6512444771747
2017-06-30,118.08,118.41,117.95,118.03,6001874,2523.761556671455
2017-07-03,116.54,116.85,115.94,116.04,10277775,2524.9089801907576
2017-07-05,115.91,116.67,115.87,116.54,5597580,2569.8523254139723
2017-07-06,116.58,116.61,116.24,116.46,3636083,2593.6197291021704
2017-07-07,115.78,115.79,114.8,115.27,9410562,2541.820538348087
2017-07-10,115.02,115.57,114.83,115.46,3970235,2451.24397913562
2017-07-11,115.26,115.77,114.88,115.64,4087140,2339.656065688327
2017-07-12,116.21,116.33,115.87,116.01,3578961,2344.349150141647
2017-07-13,116.04,116.04,115.67,115.82,3624459,2370.49952415813
2017-07-14,117.04,117.25,116.64,116.78,4059340,2277.5890711175684
2017-07-17,117.42,117.53,117.23,117.29,4097740,2057.3082807017595
2017-07-18,117.99,118.33,117.88,118.09,5886271,2280.8427851644533
2017-07-19,118.18,118.27,117.8363,118.05,2450127,2311.477210451977
2017-07-20,117.92,118.62,117.66,118.25,4775127,2497.806585190505
2017-07-21,119.0,119.39,118.751,119.25,8041340,2719.0320971147053
2017-07-24,119.52,119.5762,119.18,119.33,3022444,2753.689992690065
2017-07-25,118.99,119.32,118.79,118.92,4756182,2619.4033791606425
2017-07-26,118.57,120.15,118.55,119.9,6912324,2498.869391365893
2017-07-27,120.1,120.14,119.28,119.81,5206957,2569.933053545587
2017-07-28,120.15,120.8558,120.14,120.7,5868335,2737.928370264477
2017-07-31,120.5,120.805,120.45,120.73,3145984,2761.777955223876
2017-08-01,120.44,121.14,120.44,120.64,5511369,2766.060429948109
2017-08-02,120.51,121.02,120.34,120.42,4736132,2713.830417566598
2017-08-03,120.31,120.83,120.31,120.59,3301218,2744.010665680483
2017-08-04,119.97,120.039,119.2201,119.65,6234518,2828.8835143288097
2017-08-07,119.44,119.79,119.43,119.51,2274122,3310.928714596962
2017-08-08,120.02,120.12,118.97,119.88,5887434,3416.080875350135
2017-08-09,121.02,121.55,120.76,121.3,7330861,3340.506430594911
2017-08-10,122.08,122.44,122.03,122.23,7670162,3392.9317167381946
2017-08-11,122.24,122.83,122.03,122.78,6246531,3504.2765884861483
2017-08-14,121.98,122.24,121.6845,121.89,4065078,4171.049693513901
2017-08-15,120.6,121.2299,120.5828,120.97,4934039,4167.271794692747
2017-08-16,120.67,122.06,120.66,121.85,6494404,4167.727443181816
2017-08-17,122.29,122.6099,121.76,122.51,6351738,4346.486339222618
2017-08-18,123.36,123.54,122.0,122.27,11628518,4227.788487394969
2017-08-21,122.54,122.981,122.5,122.77,4573436,4021.363997082423
2017-08-22,122.56,122.56,121.85,122.21,4272199,3921.97564944134
2017-08-23,122.58,122.69,122.31,122.66,2859023,4142.045368938866
2017-08-24,122.39,122.64,122.13,122.27,2914808,4180.726488011292
2017-08-25,122.77,123.02,121.29,122.745,11195955,4356.784354609941
2017-08-28,123.33,124.73,123.33,124.68,8912827,4304.878294075677
2017-08-29,125.81,125.87,124.0545,124.42,8496223,4465.117163969044
2017-08-30,124.33,124.62,124.16,124.3492,4974213,4575.672056338037
2017-08-31,124.58,125.84,124.55,125.84,9150243,4670.353321529755
2017-09-01,126.01,126.17,125.12,126.06,8334772,4801.956576011163
2017-09-05,126.65,127.78,126.57,127.46,8791531,4252.3460250173775
2017-09-06,127.34,127.44,126.55,126.82,6829598,4528.764399441346
2017-09-07,127.57,128.32,127.39,128.14,7390006,4584.511490857959
2017-09-08,128.2,128.3,127.59,127.98,6040239,4478.341214953271
2017-09-11,126.74,126.94,126.045,126.17,6213219,4210.23134453782
2017-09-12,126.03,126.59,125.94,126.55,5560218,4252.994787234042
2017-09-13,126.4,126.45,125.5,125.6,5619723,3932.973356692366
2017-09-14,125.66,126.44,125.62,126.16,3755010,3622.5933006306914
2017-09-15,125.99,125.99,125.41,125.52,5463765,3409.224207232261
2017-09-18,124.71,124.76,123.965,124.35,6857926,3940.996519916149
2017-09-19,124.49,124.65,124.03,124.59,4122598,3962.772829131652
2017-09-20,124.68,125.0599,123.15,123.6,9968456,3937.585712230216
2017-09-21,122.57,123.07,122.49,122.67,6735925,3789.237372942016
2017-09-22,123.03,123.39,122.9348,123.24,4659985,3626.1703952011303
2017-09-25,122.78,124.66,122.71,124.54,8965635,3822.1701005025047
2017-09-26,123.57,123.81,122.9,123.13,6830345,3914.772109764792
2017-09-27,122.04,122.51,121.88,121.99,5582835,4037.329766784446
2017-09-28,122.04,122.475,121.83,122.23,4713866,4188.537876857742
2017-09-29,122.29,122.3,121.55,121.601,6714751,4144.9113960114055
2017-10-02,121.17,121.34,120.74,120.76,8597785,4395.775195369032
2017-10-03,120.72,121.1,120.7041,120.84,2870112,4310.175648745532
2017-10-04,121.21,121.27,120.7101,121.17,5185478,4248.14967225055
2017-10-05,121.15,121.24,120.395,120.51,4958899,4256.913988397398
2017-10-06,120.26,121.21,119.7835,121.11,7703241,4359.940316176475
2017-10-09,121.64,122.11,121.551,122.07,3863301,4644.426512455513
2017-10-10,122.61,122.97,122.36,122.39,5828818,4811.997132667621
2017-10-11,122.57,122.88,122.03,122.8,4731225,4787.976265320845
2017-10-12,122.84,123.035,122.5,122.885,2559270,5116.922075736328
2017-10-13,123.66,123.86,123.34,123.84,5326268,5618.319819318966
2017-10-16,123.82,123.97,122.57,122.98,6970391,5673.640113798009
2017-10-17,122.02,122.32,121.73,122.13,5293645,5624.803520227109
2017-10-18,121.71,121.94,121.55,121.66,3004194,5401.969064898817
2017-10-19,122.2,122.55,122.111,122.38,4433616,5654.081833568413
2017-10-20,121.68,121.98,121.39,121.601,5808931,5790.207616361079
2017-10-23,120.98,121.9,120.96,121.81,4305379,5867.216531627576
2017-10-24,121.26,121.71,120.98,121.33,4059885,5659.463389238304
2017-10-25,121.31,121.5899,120.84,121.34,3536592,5547.894570230612
2017-10-26,121.16,121.16,120.22,120.33,5119489,5827.555448129863
2017-10-27,120.38,120.99,120.21,120.89,5069164,5821.23064584812
2017-10-30,120.93,121.47,120.8,121.13,3840455,6122.396163610732
2017-10-31,120.82,120.84,120.38,120.68,2836820,6241.88095774648
2017-11-01,120.98,121.55,120.835,121.11,3789409,6503.334895104899
2017-11-02,121.29,121.96,121.05,121.2,4476770,6952.793470383285
2017-11-03,121.36,121.43,120.1844,120.63,4545275,7240.684188153317
2017-11-06,120.72,121.85,120.68,121.65,5425015,7228.078117154808
2017-11-07,121.51,121.56,120.78,121.2,3592619,7102.876098748263
2017-11-08,121.94,122.25,121.59,121.64,4574706,7386.538886569248
2017-11-09,121.85,122.41,121.73,122.14,4822491,7244.327472222225
2017-11-10,121.99,122.11,120.935,121.14,6080129,6960.260097765367
2017-11-13,121.43,121.55,121.27,121.32,4735666,6347.41558803062
2017-11-14,120.9,121.91,120.77,121.57,5106337,6590.334569629115
2017-11-15,122.13,122.36,121.25,121.41,3744598,7047.241583742112
2017-11-16,121.45,121.71,121.29,121.4,2219847,7462.372382290935
2017-11-17,122.17,123.17,121.95,122.85,8455905,7827.237773138492
2017-11-20,122.3,122.41,121.04,121.3,6547997,8090.914324702599
2017-11-21,121.67,122.0,121.5,121.53,3545103,8157.685722222237
2017-11-22,122.26,122.95,122.17,122.63,4139780,8195.136783461823
2017-11-24,122.36,122.61,122.22,122.32,1241715,8168.268290300076
2017-11-27,123.26,123.33,122.67,122.85,4071623,9556.814923611137
2017-11-28,123.05,123.17,122.53,122.8,5044658,9833.134767199466
2017-11-29,122.24,122.33,121.74,122.05,4909914,10418.194439655172
2017-11-30,121.44,121.695,120.64,121.08,6637180,9888.908548611136
